acogoluegnes@Spring-Batch-Workshop,snyk,success,0,
shunyang@spring-cloud-microservice-study,snyk,success,0,
apache@gora,snyk,success,0,
redhat-developer-demos@java-container,snyk,success,0,
openhab@openhab-core,snyk,success,0,
junneyang@xxproject,snyk,success,0,
wouterd@docker-maven-plugin,snyk,success,0,
splicemachine@spliceengine,snyk,success,0,
networknt@light-oauth2,snyk,success,0,
zhangxd1989@spring-boot-cloud,snyk,success,0,
jenkinsci@maven-hpi-plugin,snyk,success,0,
decentralized-identity@universal-resolver,snyk,success,0,
mploed@event-driven-spring-boot,snyk,success,0,
fangjian0423@rocketmq-binder-demo,snyk,success,0,
mwinteringham@restful-booker-platform,snyk,success,0,
JamesZBL@java_design_patterns,snyk,success,0,
yihonglei@thinking-in-spring,snyk,success,0,
aaronchen2k@ngtesting-platform,snyk,success,0,
quickmsg@smqtt,snyk,success,0,
spring-petclinic@spring-petclinic-cloud,snyk,success,0,
terrier-org@terrier-core,snyk,success,0,
sujee81@SparkApps,snyk,success,0,
kinow@testlink-java-api,snyk,success,0,
suisui2019@springboot-study,snyk,success,0,
piomin@sample-spring-oauth2-microservices,snyk,success,0,
johnlpage@POCDriver,snyk,success,0,
huanzi-qch@springBoot,snyk,success,0,
bohrqiu@watcher,snyk,success,0,
eiselems@spring-boot-microservices,snyk,success,0,
apache@maven-dependency-plugin,snyk,success,0,
perwendel@spark-template-engines,snyk,success,0,
apache@royale-compiler,snyk,success,0,
SpringCloud@spring-cloud-dubbo,snyk,success,0,
leader-us@Kubernetes_eShop,snyk,success,0,
Nepxion@Aquarius,snyk,success,0,
fayechenlong@plumelog,snyk,success,0,
xcesco@kripton,snyk,success,0,
lets-mica@mica-mqtt,snyk,success,0,
hyscale@hyscale,snyk,success,0,
rainbowda@learning,snyk,success,0,
leanstacks@skeleton-ws-spring-boot,snyk,success,0,
nobodyiam@spring-cloud-in-action,snyk,success,0,
BNYMellon@spring-kata,snyk,success,0,
eclipse@rdf4j,snyk,success,0,
RuedigerMoeller@kontraktor,snyk,success,0,
piomin@sample-spring-microservices-kubernetes,snyk,success,0,
longfeizheng@sso-merryyou,snyk,success,0,
semantic-systems@NLIWOD,snyk,success,0,
sofastack@sofa-tracer,snyk,success,0,
apache@cxf,snyk,success,0,
monodot@camel-demos,snyk,success,0,
SpringCloud@venus-cloud-feign,snyk,success,0,
shmilyah@spring-cloud-components,snyk,success,0,
malike@sso-auth,snyk,success,0,
